# Это НЕ voice_id: это номера дублей (session id) тех записей, что уже сделаны.
# Голос каждого народа в отдельности не сохранился — см. README, раздел «Чего не хватает».
народ	session_id дубля
race_gnomy	MLBpdzKZ9y9gkCzRaQa8
race_orki	kcU7AjITH4ixKpYL2Lip
race_trolli	Aaog5K0G5z54vAcMK4WP
race_ogry	O4jr33iUI7Dls51vP2nG
race_zverolyudy	pBExtFrDmuZMgut5j0H3
race_minotavry	PlcRfztzGZNhE4X1nj0H
race_vervolfy	bU4JUj28D22B21lbxgdI
race_yascherolyudy	Mto1vlbuz9x5kYol9oru
race_ciklopy	7HRyBC7vk3QXzGKdjGsG
race_golemy	3RRASM1fQbx1rmbvYxSc
race_kamennorozhdennye	BOP2iO3enDgfJHeTE7yC
race_runnye_karly	aqKZeTvXP391FNYAZhOf
race_kostyanye_shamany	V2QKLZBypuStj5HQms00
race_drakonidy	WO1E7QkeXSnhEAhYcpV1
race_pepelnye_velikany	3OOyFVJ4QIsdywJdsoS7
race_drevnie_enty	dxtOIJikaDPmWJSiyfJs
race_shtormovye_virmy	5qlB3teegG44LhR1M31T
race_glubinnye_leviafany	udurXmps7iS8s66oELUp
race_titany_grani	pq7MfzAqrboNq4o8cIPM
race_drakony_praroditeli	gMD7kwONIkB8OYxva4wU
race_gribozhory	kCmtmQbgLkL5Sqyhqyxs
race_utoplenniki	t3DeGJTKPbks5QRDyZuX
race_chervehody	SxAViTuFcZr1a6IwWywe
race_golodnye	cFGoWfeKiwUJi3PdgJHt
race_kostyanki	4OdesdZaEDcTYnON8jIR
race_mnogorukie	Nw5J8R0sUTjzCDUOCPCa
race_pustotelye	0XVc3D7VGxtsLDkyTKiA
race_kostyanye_schetchiki	4HyvkzOWYnJxNFrhzLGJ
race_gnilokoronnye	aUuojQr1lBbibQXzqIzW
race_pepelnye_kuznecy	ummFakUOvTswXeKbINja
race_drevnie_bezymyannye	AphC3m8VQ8kG1Gd3zQZG
race_terzayuschie	044g7HSMTThbRgDxqMzy
race_nasledniki_harga	OQkq3XxTlQXiDCIgZEf8
race_sonnye_skaty	klSVI9DoTKITiFO9iR9P
race_terzayuschie_v_nebe	lo3bxVuIcigVHf1x8HUe
race_drevnie_krylatye	3v4hASvWmbVrg11Y0OVh
race_poslednie_krylya	kkrHBxXY2VEOQimGXAKj
