и	ˈi
не	nʲˈe
в	vˈɛ
на	nˈɑ
о	ˈo
у	ˈu
с	ˈɛs
что	ʃto
звук	zvˈuk
по	pˈo
а	ˈɑ
из	ˈɪs
за	zˈɑ
нет	nʲˈet
это	ˈɛtʌ
цена	tsynˈɑ
от	ot
же	ʒˈɛ
род	rˈot
как	kˈɑk
где	ɡdʲˈe
вы	vˈy
его	jɪvˈo
до	dˈo
под	pˈot
к	kˈɑ
здесь	ʑdʲˈesʲ
только	tˈoɭʲkʌ
он	ˈon
было	bˌyɭʌ
кто	ktˈo
то	tˈo
или	ˈɪɭʲɪ
вас	vˈɑs
есть	jestʲ
шаг	ʃˈɑk
чем	tʃʲˈem
имя	ˈɪmʲʌ
дар	dˈɑr
ни	nʲɪ
слово	sɭˈovʌ
можно	mˈoʒnʌ
камень	kˈɑmʲinʲ
без	bʲˈes
уже	ˈuʒy
её	jɪˈɵ
их	ˈɪx
но	no
школа	ʃkˈoɭa
всё	fsʲˈɵ
вещь	vʲˈeɕ
голос	ɡˈoɭʌs
один	ʌdʲˈin
вид	vʲˈit
дело	dʲˈeɭʌ
кристалл	krʲistˈɑɭɭ
стоит	stʌˈit
день	dʲˈenʲ
для	dɭʲɑ
даёт	daˈɵt
идёт	ɪdʲˈɵt
раз	rˈɑs
сила	sʲˈiɭa
больше	bˈoɭʲʃy
т	tˈɛ
мир	mʲˈir
все	fsʲˈe
ядро	jadrˈo
там	tˈɑm
тот	tˈot
свой	svˈoj
три	trʲˈɪ
при	prʲˈɪ
дом	dˈom
ранг	rˈɑnk
вещи	vʲˈeɕɪ
место	mʲˈestʌ
каждого	kˈɑʒdʌvʌ
того	tʌvˈo
сколько	skˈoɭʲkʌ
кость	kˈostʲ
ярус	ˈjarus
берёт	bʲirʲˈɵt
золота	zˈoɭʌta
она	ʌnˈɑ
руда	rudˈɑ
ключ	kɭʲˈutʃʲ
ур	ˈur
игрок	ɪɡrˈok
когда	kʌɡdˈɑ
ступени	stupʲˈenʲɪ
так	tˈɑk
чары	tʃʲˈɑry
теперь	tʲipʲˈerɪ
тем	tʲˈem
касание	kasˈɑnʲijɪ
мира	mʲˈira
вес	vʲˈes
товар	tʌvˈɑr
два	dvˈɑ
своя	svʌˈja
рядом	rʲˈɑdʌm
делать	dʲˈeɭʌtʲ
ничего	nʲitʃʲivˈo
своё	svʌˈɵ
бы	by
если	jˈesɭʲɪ
пока	pʌkˈɑ
д	dˈɛ
трава	travˈɑ
через	tʃʲˈerʲis
со	sˈo
удар	udˈɑr
ещё	jɪɕˈɵ
слышно	sɭˈyʃnʌ
одно	ʌdnˈo
дерево	dʲˈerʲivʌ
ступень	stupʲˈenʲ
второй	ftʌrˈoj
державы	dʲirʒˈɑvy
вода	vʌdˈɑ
они	ʌnʲˈɪ
стихия	sʲtʲixˈija
держава	dʲirʒˈɑva
одна	ʌdnˈɑ
этого	ˈɛtʌvʌ
нужно	nˈuʒnʌ
дела	dʲˈeɭa
золото	zˈoɭʌtʌ
мана	mˈɑna
значок	znatʃʲˈok
ч	tʃʲˈe
раньше	rˈɑnʲʃy
м	ˈɛm
слух	sɭˈux
свои	svʌˈɪ
четыре	tʃʲitˈyrʲi
роль	rˈolʲ
счёт	ɕˈɵt
каждой	kˈɑʒdʌj
земли	ʑˈemɭʲɪ
части	tʃʲˈɑsʲtʲɪ
держит	dʲˈerʒyt
чего	tʃʲivˈo
слова	sɭˈova
дома	dˈoma
твари	tvˈɑrʲɪ
праздник	prˈɑznʲik
игра	ɪɡrˈɑ
поэтому	pʌˈɛtʌmu
вниз	vnʲˈis
всегда	fsʲiɡdˈɑ
цель	tsˈɛlʲ
час	tʃʲˈɑs
обряд	ʌbrʲˈɑt
сейчас	sʲijtʃʲˈɑs
места	mʲˈesta
список	spʲˈisʌk
него	nʲivˈo
дальше	dˈɑɭʲʃy
свайп	svˈɑjp
свет	svʲˈet
ресурс	rʲisˈurs
город	ɡˈorʌt
всего	fsʲivˈo
них	nʲˈix
надо	nˈɑdʌ
окно	ʌknˈo
школы	ʃkˈoɭy
погода	pʌɡˈoda
иначе	ɪnˈɑtʃʲi
берут	bʲirˈut
меню	mʲinʲˈu
говорит	ɡʌvʌrʲˈit
города	ɡʌrˈoda
война	vʌjnˈɑ
